2000
L 41  467 334 500
L 813  174 601 77
L 215  683 213 992
L 824  601 392 759
L 670  428 27 84
L 75  786 498 970
L 287  847 604 503
L 221  663 706 363
L 10  171 489 240
L 164  542 619 913
L 591  704 818 232
L 750  205 975 539
L 303  422 98 247
L 584  648 971 864
L 913  75 545 712
L 546  678 769 262
L 519  985 289 944
L 865  540 245 508
L 318  870 601 323
L 132  472 152 87
L 570  763 901 103
L 423  527 600 969
L 15  565 28 543
L 347  88 943 637
L 409  463 49 681
L 588  342 608 60
L 221  758 954 888
L 146  690 949 843
L 430  620 748 67
L 536  783 35 226
L 185  38 853 629
L 224  748 923 359
L 257  766 944 955
L 318  726 411 25
L 355  1 549 496
L 584  515 964 342
L 75  913 142 196
L 948  72 426 606
L 173  429 404 705
L 626  812 375 93
L 565  36 736 141
L 814  994 256 652
L 936  838 482 355
L 15  131 230 841
L 625  11 637 186
L 690  650 662 634
L 893  353 416 452
L 8  262 233 454
L 303  634 303 256
L 148  124 317 213
L 109  28 200 80
L 318  858 50 155
L 361  264 903 676
L 643  909 902 561
L 489  948 282 653
L 674  220 402 923
L 831  369 878 259
L 8  619 971 3
L 945  781 504 392
L 685  313 698 589
L 722  938 37 410
L 461  234 508 961
L 959  493 515 269
L 937  869 58 700
L 971  264 117 215
L 555  815 330 39
L 212  288 82 954
L 85  710 484 774
L 380  815 951 541
L 115  679 110 898
L 73  788 977 132
L 956  689 113 8
L 941  790 723 363
L 28  184 778 200
L 71  885 974 71
L 333  867 153 295
L 168  825 676 629
L 650  598 309 693
L 686  80 116 249
L 667  528 679 864
L 421  405 826 816
L 516  726 666 87
L 681  964 340 686
L 21  662 721 64
L 309  415 902 873
L 124  941 745 762
L 423  531 806 268
L 318  602 907 307
L 481  12 136 630
L 114  809 84 556
L 290  293 996 152
L 54  345 708 248
L 491  712 131 114
L 439  958 722 704
L 995  52 269 479
L 238  423 918 866
L 659  498 486 196
L 462  633 158 22
L 146  392 37 925
L 647  458 602 807
L 98  830 292 600
L 278  799 352 448
L 882  540 315 575
L 762  567 336 397
L 418  897 828 851
L 816  230 449 925
L 658  229 520 940
L 560  147 162 655
L 675  792 361 754
L 398  146 714 946
L 188  569 638 663
L 75  515 521 475
L 615  528 234 570
L 905  464 557 962
L 161  524 549 469
L 330  923 350 333
L 925  910 737 336
L 337  278 393 636
L 714  164 591 949
L 135  505 337 4
L 337  623 664 970
L 608  568 281 85
L 152  373 652 194
L 876  826 396 572
L 249  640 174 819
L 943  611 941 289
L 419  565 805 585
L 216  450 615 609
L 64  166 893 74
L 509  300 695 573
L 589  161 172 968
L 358  31 268 426
L 510  422 774 779
L 910  552 182 391
L 495  764 874 364
L 902  255 460 474
L 972  821 122 547
L 577  789 605 195
L 594  950 343 754
L 481  12 672 439
L 428  912 762 967
L 408  415 908 223
L 759  434 204 486
L 319  958 945 806
L 166  700 367 692
L 787  532 556 974
L 447  21 283 222
L 331  376 583 948
L 723  982 18 776
L 220  111 182 856
L 490  925 324 486
L 677  969 643 534
L 677  668 68 991
L 196  783 828 727
L 426  871 697 612
L 703  27 408 545
L 508  185 238 237
L 443  313 501 850
L 128  111 650 149
L 192  454 869 681
L 465  267 713 793
L 634  472 972 830
L 901  442 177 877
L 770  702 364 381
L 590  823 237 23
L 179  595 169 327
L 42  310 182 58
L 926  487 670 528
L 651  258 213 860
L 783  286 742 610
L 472  128 434 841
L 718  503 867 865
L 938  881 257 750
L 614  598 458 661
L 63  756 807 278
L 489  435 365 75
L 586  386 833 360
L 330  48 928 492
L 433  840 766 735
L 810  599 837 892
L 982  328 352 369
L 244  794 608 252
L 647  432 535 208
L 264  497 243 649
L 15  841 189 100
L 812  648 523 851
L 474  633 891 200
L 854  990 697 919
L 780  578 931 544
L 340  487 899 525
L 483  538 492 193
L 252  11 560 834
L 840  497 785 529
L 540  805 791 392
L 210  549 578 979
L 971  277 73 193
L 620  497 826 276
L 790  582 578 159
L 418  489 159 449
L 924  72 380 8
L 967  208 477 503
L 370  607 196 74
L 722  611 19 761
L 56  890 163 683
L 716  932 452 741
L 954  813 862 396
L 460  615 904 599
L 136  680 198 32
L 387  584 240 517
L 6  670 241 882
L 249  523 758 105
L 621  95 296 916
L 678  178 579 58
L 577  750 7 729
L 81  995 678 676
L 753  899 784 565
L 93  608 172 243
L 929  514 168 55
L 191  973 922 748
L 651  986 144 446
L 577  517 629 916
L 874  791 469 912
L 146  693 91 815
L 949  857 640 52
L 236  551 487 226
L 162  955 183 394
L 180  97 65 65
L 513  261 578 78
L 878  140 611 947
L 445  170 975 489
L 750  149 333 865
L 214  282 7 432
L 896  367 522 882
L 810  641 231 187
L 705  479 321 538
L 351  447 208 646
L 276  759 189 422
L 666  486 455 28
L 614  860 253 777
L 348  503 861 431
L 82  455 197 106
L 752  821 296 281
L 21  455 947 124
L 318  135 376 774
L 859  998 74 253
L 922  635 643 888
L 153  232 747 680
L 926  678 450 801
L 961  199 855 363
L 716  573 561 245
L 473  274 550 353
L 181  287 699 110
L 643  465 172 529
L 981  112 476 381
L 247  890 671 805
L 372  32 989 320
L 165  431 658 293
L 206  578 948 206
L 171  166 396 697
L 20  694 529 788
L 109  984 969 978
L 617  15 626 684
L 168  906 928 97
L 118  390 199 785
L 486  199 420 710
L 271  813 415 85
L 318  580 331 267
L 387  444 186 507
L 360  827 74 431
L 152  271 268 693
L 885  337 311 604
L 677  406 768 22
L 413  0 542 537
L 38  388 355 289
L 647  181 93 584
L 987  761 493 217
L 501  482 447 665
L 753  104 84 95
L 525  221 964 781
L 872  106 656 343
L 593  80 80 868
L 411  713 968 251
L 216  79 768 40
L 531  933 779 663
L 259  653 936 95
L 365  874 720 835
L 680  976 455 725
L 71  808 559 156
L 602  832 905 440
L 375  562 885 962
L 80  836 797 202
L 508  80 340 76
L 58  493 740 546
L 474  773 97 880
L 335  72 400 707
L 955  666 141 588
L 481  168 315 396
L 225  9 12 136
L 455  762 43 742
L 21  922 512 248
L 18  368 717 714
L 650  290 335 759
L 169  895 303 640
L 979  199 105 791
L 661  681 652 753
L 33  29 987 42
L 253  83 420 814
L 718  244 63 229
L 652  864 769 470
L 5  47 594 487
L 326  276 323 540
L 679  990 588 710
L 271  945 221 470
L 183  589 955 978
L 779  6 262 135
L 487  196 33 88
L 935  779 993 790
L 962  965 1 105
L 807  567 669 134
L 671  457 998 545
L 597  218 838 844
L 372  563 28 264
L 801  723 490 604
L 601  227 197 692
L 771  363 301 363
L 721  565 421 445
L 610  495 741 22
L 812  151 15 55
L 393  738 279 882
L 608  654 822 707
L 245  338 144 290
L 339  154 604 623
L 225  78 724 981
L 330  733 223 594
L 130  846 987 445
L 805  616 750 489
L 338  963 135 697
L 209  630 224 908
L 737  474 920 372
L 293  855 734 561
L 56  606 184 75
L 382  119 741 432
L 684  779 279 283
L 667  836 125 118
L 737  28 119 577
L 737  91 556 795
L 60  901 793 432
L 136  580 875 907
L 184  74 719 790
L 476  41 351 329
L 290  974 72 591
L 189  787 490 239
L 893  53 63 681
L 903  5 176 479
L 695  139 468 998
L 83  639 515 621
L 993  826 722 838
L 828  581 399 978
L 891  23 943 834
L 243  349 702 707
L 502  141 687 346
L 891  637 413 400
L 816  690 162 935
L 126  410 877 382
L 260  189 705 874
L 663  722 195 566
L 360  38 588 811
L 245  467 425 867
L 189  542 63 547
L 502  617 99 23
L 226  203 48 51
L 570  636 458 967
L 456  405 531 962
L 819  975 556 531
L 495  44 591 803
L 388  915 450 319
L 272  791 383 133
L 775  642 569 300
L 954  78 585 257
L 333  893 490 103
L 750  233 722 271
L 611  990 338 641
L 258  47 352 658
L 479  302 683 990
L 2  568 422 895
L 135  8 361 742
L 194  699 188 178
L 42  357 941 847
L 469  345 380 913
L 964  710 61 385
L 73  504 462 703
L 102  69 154 529
L 552  74 149 730
L 244  844 49 118
L 65  363 552 773
L 470  731 747 511
L 869  398 498 103
L 352  679 53 43
L 522  88 563 834
L 850  22 240 911
L 492  651 580 477
L 616  876 178 220
L 615  348 798 179
L 635  857 883 662
L 902  262 420 770
L 22  273 841 686
L 888  917 717 892
L 698  267 749 65
L 389  932 619 81
L 3  130 28 631
L 589  152 630 172
L 864  407 295 428
L 681  490 610 177
L 71  236 459 643
L 840  633 37 893
L 630  274 993 782
L 203  461 290 662
L 307  997 151 423
L 890  717 640 703
L 566  883 661 659
L 245  386 651 765
L 601  840 209 497
L 283  250 58 421
L 175  581 787 271
L 287  999 504 979
L 138  700 530 461
L 118  205 540 828
L 459  622 398 760
L 98  935 481 614
L 567  493 596 161
L 746  538 670 538
L 476  555 917 371
L 760  752 758 433
L 255  65 726 401
L 34  759 393 548
L 273  792 193 933
L 137  103 690 211
L 694  668 627 498
L 989  248 879 647
L 149  931 669 875
L 598  449 436 599
L 123  443 731 154
L 861  434 385 967
L 816  393 704 866
L 953  308 223 684
L 792  667 48 469
L 930  811 814 90
L 427  743 604 599
L 474  195 506 158
L 589  858 809 889
L 447  40 818 364
L 975  26 89 503
L 66  412 840 570
L 676  395 641 986
L 651  109 187 83
L 85  390 250 686
L 755  381 128 502
L 277  862 424 565
L 872  832 885 428
L 646  889 478 883
L 925  265 260 45
L 778  821 855 520
L 927  773 134 251
L 675  336 334 1
L 737  310 974 590
L 356  71 80 935
L 145  282 825 718
L 573  712 37 998
L 905  162 717 692
L 539  47 946 103
L 231  115 839 858
L 829  645 394 199
L 645  272 675 862
L 72  773 480 238
L 897  542 608 203
L 277  125 134 401
L 78  382 169 736
L 478  939 138 721
L 426  663 677 575
L 724  981 700 961
L 862  2 448 95
L 684  16 137 507
L 993  284 944 259
L 821  58 643 668
L 677  119 857 41
L 891  264 623 915
L 72  929 841 715
L 615  536 957 759
L 700  452 93 241
L 829  448 227 798
L 224  324 274 133
L 885  38 170 862
L 629  84 909 878
L 923  85 400 24
L 193  105 412 765
L 767  407 677 784
L 704  790 834 891
L 621  85 734 190
L 542  998 86 18
L 621  424 597 376
L 254  669 108 927
L 493  68 366 102
L 438  600 819 318
L 290  984 339 556
L 808  632 478 814
L 787  239 74 20
L 827  554 988 441
L 798  642 2 321
L 104  946 56 509
L 833  708 761 533
L 686  804 385 142
L 842  260 161 620
L 343  578 187 113
L 63  591 934 415
L 656  761 12 411
L 959  251 738 370
L 124  507 7 584
L 951  101 489 958
L 441  790 13 412
L 855  60 93 472
L 402  676 543 373
L 266  651 275 528
L 532  761 469 503
L 729  107 892 451
L 953  392 570 519
L 472  407 494 505
L 440  383 262 409
L 607  38 360 471
L 171  654 947 514
L 523  229 489 766
L 887  756 632 470
L 739  666 522 283
L 160  553 705 91
L 259  386 687 629
L 42  317 45 356
L 388  452 154 466
L 833  760 919 631
L 738  267 776 98
L 314  320 53 7
L 469  216 722 842
L 7  463 260 947
L 793  630 717 43
L 376  314 626 117
L 334  620 171 792
L 964  154 866 693
L 664  775 0 212
L 100  551 476 379
L 943  877 789 361
L 385  272 434 144
L 561  563 504 946
L 888  308 157 430
L 123  464 74 346
L 837  981 318 611
L 292  591 832 123
L 461  991 461 330
L 498  369 291 400
L 179  117 317 914
L 595  441 936 867
L 28  453 909 973
L 981  503 569 816
L 883  367 385 402
L 230  157 681 567
L 310  866 687 171
L 477  245 764 238
L 671  47 115 592
L 311  657 405 53
L 171  580 740 530
L 675  320 790 377
L 998  586 604 489
L 631  744 388 610
L 718  919 259 927
L 609  119 479 716
L 300  396 853 458
L 830  593 806 849
L 854  272 160 294
L 54  333 146 229
L 471  428 559 241
L 421  688 366 33
L 685  270 329 261
L 860  208 982 162
L 506  878 979 897
L 887  538 469 783
L 540  795 266 633
L 509  557 317 134
L 53  135 258 593
L 843  693 466 951
L 140  94 937 174
L 512  97 551 695
L 817  492 292 237
L 530  613 296 710
L 389  628 809 786
L 744  840 182 569
L 120  393 292 962
L 214  527 807 194
L 705  713 11 913
L 693  664 203 995
L 762  381 946 909
L 48  768 624 511
L 954  235 127 633
L 240  862 127 577
L 817  340 142 100
L 400  558 476 154
L 935  430 831 295
L 537  623 922 927
L 29  211 211 754
L 880  253 293 321
L 785  528 443 0
L 555  671 270 452
L 375  631 640 934
L 40  986 834 248
L 539  765 796 312
L 262  52 731 987
L 464  557 248 556
L 170  450 182 301
L 293  99 332 44
L 331  75 4 50
L 26  66 738 801
L 623  843 441 380
L 695  918 659 363
L 628  329 88 854
L 613  979 569 666
L 679  577 837 402
L 115  292 723 872
L 448  323 153 948
L 395  197 508 908
L 411  993 665 781
L 202  610 828 256
L 705  965 23 769
L 715  253 805 684
L 478  145 840 833
L 285  900 968 994
L 633  885 348 281
L 32  256 910 872
L 982  901 306 635
L 860  471 527 137
L 343  768 233 995
L 171  603 942 11
L 879  34 512 593
L 530  161 234 258
L 926  906 191 443
L 188  227 719 484
L 224  93 435 224
L 94  582 867 627
L 5  146 686 589
L 540  237 850 759
L 578  956 677 403
L 42  300 811 225
L 143  595 16 615
L 804  6 368 641
L 335  698 325 313
L 23  312 618 457
L 396  339 86 94
L 846  43 522 911
L 280  455 358 847
L 870  990 873 327
L 413  454 896 472
L 450  241 641 646
L 525  213 824 929
L 695  403 594 993
L 67  187 640 79
L 41  125 534 860
L 0  907 621 692
L 293  117 717 403
L 943  893 639 11
L 925  28 978 748
L 850  892 444 654
L 623  353 36 547
L 346  826 61 904
L 238  571 886 405
L 299  56 728 267
L 751  19 991 166
L 717  846 93 187
L 421  912 867 299
L 444  897 201 328
L 942  104 768 768
L 641  296 262 720
L 244  918 625 219
L 584  174 984 459
L 149  14 695 503
L 32  851 537 814
L 363  651 219 290
L 917  683 918 584
L 252  586 269 248
L 137  397 424 168
L 27  148 993 382
L 271  669 893 877
L 14  104 484 943
L 495  811 293 892
L 798  990 299 890
L 493  74 549 774
L 314  173 69 218
L 865  833 238 911
L 252  463 508 149
L 88  245 231 920
L 106  271 368 421
L 258  157 647 982
L 238  122 723 906
L 706  189 156 345
L 351  923 118 550
L 97  836 591 406
L 510  813 651 880
L 844  743 741 245
L 578  949 705 514
L 785  227 624 204
L 356  917 227 555
L 102  286 468 698
L 979  411 489 758
L 490  775 410 132
L 89  296 950 112
L 122  529 672 836
L 277  553 976 670
L 85  652 751 397
L 751  1 435 693
L 72  916 716 328
L 511  125 838 296
L 939  544 56 826
L 902  758 588 21
L 586  108 777 628
L 979  947 549 280
L 245  128 62 426
L 719  677 91 47
L 785  231 406 684
L 954  769 709 956
L 421  945 465 16
L 860  497 335 190
L 677  49 5 886
L 388  675 143 377
L 130  487 555 482
L 253  0 754 289
L 488  215 8 310
L 940  799 997 707
L 454  304 237 485
L 499  792 613 612
L 682  983 351 129
L 137  33 600 864
L 683  857 968 710
L 968  708 641 732
L 437  684 499 701
L 869  583 256 692
L 640  87 12 810
L 820  835 663 615
L 897  677 774 134
L 553  533 878 286
L 624  734 75 349
L 712  984 624 792
L 504  822 55 913
L 462  473 84 160
L 122  53 397 822
L 750  337 917 6
L 931  197 505 236
L 357  599 290 898
L 985  447 84 592
L 725  996 855 828
L 338  342 428 795
L 742  37 506 767
L 53  793 505 146
L 609  924 854 465
L 239  206 209 492
L 499  175 36 61
L 647  618 13 727
L 712  896 909 841
L 130  90 34 915
L 286  523 666 344
L 736  37 416 893
L 949  971 844 777
L 285  200 590 285
L 325  118 668 6
L 729  8 541 225
L 536  980 716 470
L 384  747 328 936
L 204  700 523 364
L 411  40 250 504
L 483  766 141 670
L 845  506 88 256
L 107  266 857 678
L 199  674 155 191
L 990  832 858 996
L 917  290 967 707
L 234  246 462 402
L 239  426 95 906
L 314  350 586 279
L 776  822 879 301
L 812  676 164 357
L 570  38 312 144
L 561  180 200 643
L 856  61 647 939
L 808  290 452 979
L 618  419 7 284
L 547  977 675 613
L 709  371 642 339
L 336  621 501 34
L 129  358 436 469
L 897  504 798 202
L 105  238 32 65
L 516  481 579 23
L 727  771 313 382
L 140  816 488 319
L 589  513 259 851
L 271  283 364 38
L 12  184 759 501
L 574  733 59 714
L 649  595 522 541
L 416  377 52 565
L 891  138 310 967
L 55  787 224 222
L 439  441 648 804
L 834  368 441 872
L 668  974 176 137
L 633  241 745 18
L 15  974 252 846
L 956  524 966 581
L 144  240 334 296
L 876  27 205 18
L 291  641 465 191
L 471  259 700 217
L 16  943 624 64
L 505  157 502 666
L 275  46 632 789
L 46  145 3 152
L 901  326 153 184
L 649  350 405 346
L 25  970 336 795
L 793  323 532 856
L 896  210 776 692
L 550  290 795 852
L 350  315 36 361
L 760  984 729 534
L 50  82 806 936
L 584  790 617 182
C 66 116 9
C 425 101 11
C 450 982 2
C 193 38 15
C 593 895 1
C 638 167 1
C 345 883 6
C 696 833 11
C 632 189 20
C 183 817 10
C 753 679 14
C 600 252 6
C 861 151 19
C 963 813 8
C 554 476 18
C 211 429 5
C 966 531 3
C 698 522 16
C 587 257 19
C 464 762 11
C 946 65 1
C 165 946 1
C 297 42 5
C 194 584 11
C 715 200 7
C 106 302 17
C 833 611 8
C 415 645 16
C 354 448 20
C 79 988 2
C 592 597 18
C 509 652 12
C 658 122 20
C 997 999 20
C 120 320 17
C 984 912 16
C 953 485 2
C 199 567 9
C 844 169 2
C 879 108 8
C 259 706 10
C 75 26 5
C 607 774 5
C 128 546 6
C 481 714 10
C 168 338 8
C 793 504 6
C 697 217 16
C 641 343 14
C 97 679 17
C 555 633 15
C 930 252 5
C 279 488 11
C 754 72 17
C 701 415 7
C 231 480 16
C 260 514 19
C 657 990 19
C 981 447 3
C 618 70 12
C 61 219 2
C 990 833 13
C 563 302 3
C 928 721 19
C 447 945 7
C 222 686 15
C 577 844 4
C 547 240 6
C 464 723 18
C 653 168 11
C 255 466 19
C 512 656 19
C 201 142 17
C 506 702 5
C 23 270 13
C 250 475 12
C 850 195 9
C 520 101 4
C 798 892 9
C 784 245 8
C 462 343 19
C 859 871 17
C 172 832 2
C 683 88 16
C 976 516 19
C 39 283 6
C 997 146 10
C 675 917 8
C 20 30 3
C 735 389 14
C 480 73 18
C 786 381 6
C 522 345 20
C 85 713 16
C 735 883 7
C 96 648 6
C 752 521 1
C 982 636 9
C 919 236 13
C 65 278 19
C 496 386 12
C 976 547 2
C 202 245 3
C 564 539 13
C 257 370 1
C 654 359 1
C 298 391 1
C 510 591 8
C 33 675 17
C 499 775 11
C 376 256 13
C 703 86 8
C 515 542 16
C 566 456 7
C 437 198 7
C 364 85 6
C 908 340 1
C 814 154 13
C 752 338 7
C 525 630 10
C 179 79 14
C 838 517 2
C 145 991 10
C 839 308 6
C 762 473 2
C 970 147 14
C 708 508 16
C 429 66 10
C 663 771 2
C 259 631 13
C 514 966 9
C 170 168 20
C 655 850 5
C 936 278 7
C 427 313 4
C 371 327 14
C 461 173 15
C 102 587 18
C 463 153 7
C 595 495 14
C 406 370 20
C 305 496 14
C 223 852 20
C 519 126 14
C 585 465 12
C 444 107 12
C 87 99 20
C 596 715 13
C 492 753 18
C 590 959 18
C 886 809 6
C 686 19 20
C 313 435 9
C 101 468 10
C 456 731 19
C 74 395 4
C 274 316 5
C 511 585 3
C 971 57 16
C 174 38 4
C 658 295 3
C 983 231 4
C 232 300 11
C 480 408 6
C 702 858 19
C 557 561 1
C 28 656 14
C 332 92 3
C 467 320 19
C 74 987 15
C 983 364 5
C 714 746 11
C 425 255 4
C 467 792 12
C 619 880 19
C 128 948 1
C 79 91 7
C 587 808 7
C 825 159 19
C 220 35 15
C 456 147 17
C 134 360 12
C 208 478 15
C 589 524 17
C 694 90 10
C 372 419 2
C 702 844 4
C 539 609 8
C 637 186 17
C 827 169 4
C 899 514 16
C 644 436 10
C 378 676 19
C 952 846 18
C 915 988 17
C 288 382 15
C 333 915 17
C 656 62 17
C 524 129 3
C 984 872 10
C 396 26 3
C 202 775 17
C 665 552 20
C 755 417 5
C 554 443 5
C 999 422 2
C 733 413 18
C 793 873 1
C 175 74 6
C 501 622 9
C 395 26 1
C 291 988 10
C 72 977 14
C 8 254 3
C 876 137 17
C 803 90 13
C 289 253 20
C 299 322 3
C 602 369 15
C 729 734 19
C 274 226 4
C 134 972 9
C 453 503 8
C 518 333 18
C 695 179 2
C 144 659 2
C 907 576 13
C 645 592 13
C 628 196 12
C 535 835 10
C 716 532 17
C 158 749 1
C 296 724 1
C 526 406 4
C 445 574 12
C 588 538 5
C 104 877 14
C 942 4 4
C 852 625 12
C 842 724 10
C 135 590 7
C 328 855 5
C 741 909 2
C 779 102 4
C 692 532 13
C 99 161 8
C 405 290 10
C 959 628 20
C 228 580 12
C 778 440 17
C 148 444 6
C 125 210 19
C 616 180 16
C 64 226 13
C 479 593 3
C 5 536 14
C 105 587 13
C 638 165 5
C 518 399 13
C 508 896 19
C 978 638 6
C 59 169 5
C 362 769 10
C 518 467 19
C 143 61 4
C 190 186 7
C 603 4 1
C 768 423 8
C 396 566 11
C 665 152 1
C 617 173 7
C 668 597 20
C 224 728 1
C 158 425 8
C 312 734 13
C 169 562 11
C 211 235 11
C 711 64 11
C 960 545 8
C 754 787 18
C 565 942 9
C 273 815 20
C 837 388 10
C 886 830 10
C 640 321 20
C 881 626 1
C 411 454 14
C 984 357 20
C 336 829 11
C 457 405 6
C 334 49 15
C 592 270 20
C 17 313 14
C 117 977 1
C 505 153 12
C 562 576 15
C 72 134 17
C 50 193 6
C 852 747 2
C 61 344 20
C 366 885 20
C 718 107 9
C 554 50 13
C 799 20 16
C 98 792 17
C 182 29 17
C 59 758 4
C 399 135 18
C 70 271 3
C 780 877 7
C 295 686 4
C 252 718 16
C 285 428 19
C 960 101 10
C 364 385 7
C 157 737 2
C 938 593 17
C 33 493 9
C 873 935 10
C 96 381 2
C 739 584 4
C 499 731 10
C 442 606 11
C 287 40 10
C 223 588 8
C 83 400 19
C 606 938 4
C 920 366 19
C 685 23 10
C 298 356 11
C 175 196 4
C 988 619 7
C 190 275 10
C 519 341 18
C 545 654 19
C 58 794 12
C 341 837 1
C 232 675 17
C 438 958 1
C 85 13 5
C 253 727 6
C 426 670 17
C 281 370 10
C 348 77 20
C 835 573 18
C 351 731 18
C 233 571 17
C 529 731 5
C 342 467 1
C 528 916 15
C 999 757 1
C 581 623 2
C 131 749 20
C 299 575 20
C 363 245 7
C 201 424 4
C 389 735 5
C 895 745 11
C 483 717 13
C 752 324 14
C 740 255 9
C 70 843 11
C 756 765 15
C 980 458 19
C 124 8 12
C 667 717 9
C 590 99 1
C 870 990 13
C 0 64 16
C 84 682 12
C 106 868 5
C 826 436 7
C 592 988 19
C 865 212 8
C 446 659 13
C 771 256 11
C 57 666 11
C 670 145 6
C 148 874 15
C 43 429 17
C 763 16 19
C 934 301 2
C 655 815 15
C 582 139 3
C 24 900 16
C 337 376 1
C 424 864 18
C 695 525 10
C 851 788 15
C 744 706 16
C 71 490 5
C 819 979 16
C 158 807 6
C 374 438 17
C 820 432 7
C 222 957 14
C 271 955 10
C 625 29 9
C 39 527 15
C 490 648 15
C 517 192 11
C 618 148 17
C 990 282 4
C 439 301 14
C 927 269 14
C 33 431 13
C 135 26 3
C 80 616 2
C 717 907 1
C 245 166 2
C 782 782 7
C 491 870 16
C 195 143 4
C 771 592 16
C 217 412 2
C 467 721 13
C 322 828 11
C 429 424 20
C 153 151 15
C 41 264 4
C 720 144 9
C 77 213 3
C 658 202 14
C 249 58 16
C 90 638 4
C 395 701 6
C 558 123 8
C 41 26 11
C 209 820 16
C 43 531 15
C 902 100 12
C 775 9 11
C 794 622 17
C 890 15 13
C 754 782 14
C 188 855 1
C 945 923 3
C 659 487 4
C 347 584 10
C 668 788 19
C 280 479 8
C 813 860 8
C 846 271 3
C 344 142 9
C 636 353 10
C 888 823 6
C 251 190 20
C 46 362 16
C 624 78 6
C 103 781 18
C 350 48 11
C 494 216 10
C 726 38 16
C 672 352 3
C 421 667 9
C 465 329 20
C 82 389 7
C 419 735 1
C 666 632 6
C 822 3 2
C 896 141 11
C 432 872 2
C 770 313 6
C 645 120 11
C 128 970 2
C 596 4 15
C 799 210 10
C 552 235 12
C 344 830 3
C 261 395 12
C 666 83 11
C 758 372 16
C 906 14 13
C 284 905 13
C 21 341 16
C 290 525 12
C 167 982 4
C 387 793 11
C 679 268 15
C 884 629 16
C 460 105 12
C 992 824 11
C 16 60 2
C 759 309 4
C 67 300 6
C 256 140 9
C 655 807 10
C 491 760 3
C 836 219 11
C 679 725 20
C 809 701 12
C 324 807 6
C 301 283 10
C 488 164 4
C 124 534 11
C 851 997 5
C 511 67 6
C 840 379 16
